DATE,Wilshire5000,GDP,GvtBond,CorporateBondAAA
1989-04-01,3095.0075000000000000,9170.977,8.7733333333333333,9.48666666666667
1989-07-01,3355.4090476190476190,9238.923,8.1066666666666667,8.96666666666667
1989-10-01,3368.5031746031746032,9257.128,7.9066666666666667,8.89
1990-01-01,3252.2076190476190476,9358.289,8.4233333333333333,9.19333333333333
1990-04-01,3347.5720634920634921,9392.251,8.6766666666666667,9.39666666666667
1990-07-01,3191.2646031746031746,9398.499,8.7033333333333333,9.40333333333333
1990-10-01,2962.1582812500000000,9312.937,8.3966666666666667,9.29333333333333
1991-01-01,3335.2167213114754098,9269.367,8.0166666666666667,8.93333333333333
1991-04-01,3622.6946875000000000,9341.642,8.1300000000000000,8.91
1991-07-01,3695.9865625000000000,9388.845,7.9400000000000000,8.78666666666667
1991-10-01,3751.8771875000000000,9421.565,7.3466666666666667,8.44666666666667
1992-01-01,4048.0430158730158730,9534.346,7.3033333333333333,8.28
1992-04-01,3970.5703174603174603,9637.732,7.3766666666666667,8.27666666666667
1992-07-01,4017.6906250000000000,9732.979,6.6166666666666667,7.98
1992-10-01,4127.0998437500000000,9834.51,6.7433333333333333,8.02333333333333
1993-01-01,4356.5385483870967742,9850.973,6.2800000000000000,7.73333333333333
1993-04-01,4379.0552380952380952,9908.347,5.9900000000000000,7.40666666666667
1993-07-01,4507.0034375000000000,9955.641,5.6166666666666667,6.89333333333333
1993-10-01,4624.6837500000000000,10091.049,5.6066666666666667,6.84333333333333
1994-01-01,4688.1930158730158730,10188.954,6.0666666666666667,7.16
1994-04-01,4481.8359677419354839,10327.019,7.0833333333333333,7.94666666666667
1994-07-01,4565.3628125000000000,10387.382,7.3333333333333333,8.17333333333333
1994-10-01,4548.3723809523809524,10506.372,7.8366666666666667,8.57
1995-01-01,4733.0834920634920635,10543.644,7.4833333333333333,8.28
1995-04-01,5134.0822222222222222,10575.1,6.6200000000000000,7.66
1995-07-01,5600.4965079365079365,10665.06,6.3233333333333333,7.43333333333333
1995-10-01,5880.6249206349206349,10737.478,5.8933333333333333,6.98666666666667
1996-01-01,6233.9157142857142857,10817.896,5.9100000000000000,7.05
1996-04-01,6543.7458730158730159,10998.322,6.7200000000000000,7.61
1996-07-01,6471.7525000000000000,11096.976,6.7800000000000000,7.59
1996-10-01,7045.6700000000000000,11212.205,6.3433333333333333,7.23
1997-01-01,7533.3183606557377049,11284.587,6.5633333333333333,7.42666666666667
1997-04-01,7791.7760937500000000,11472.137,6.6966666666666667,7.57333333333333
1997-07-01,8882.3704687500000000,11615.636,6.2433333333333333,7.17
1997-10-01,9156.1445312500000000,11715.393,5.9066666666666667,6.87666666666667
1998-01-01,9755.2509836065573770,11832.486,5.5866666666666667,6.66666666666667
1998-04-01,10511.786984126984,11942.032,5.5966666666666667,6.63666666666667
1998-07-01,10051.1518750000000000,12091.614,5.2033333333333333,6.49
1998-10-01,10229.880156250000,12287.0,4.6700000000000000,6.33333333333333
1999-01-01,11519.456393442623,12403.293,4.9833333333333333,6.42
1999-04-01,12170.101269841270,12498.694,5.5400000000000000,6.93333333333333
1999-07-01,12251.055937500000,12662.385,5.8833333333333333,7.32666666666667
1999-10-01,12689.387187500000,12877.593,6.1400000000000000,7.48666666666667
2000-01-01,13695.299523809524,12924.179,6.4800000000000000,7.71333333333333
2000-04-01,13441.486984126984,13160.842,6.1766666666666667,7.76666666666667
2000-07-01,13831.936825396825,13178.419,5.8933333333333333,7.60666666666667
2000-10-01,12658.452063492063,13260.506,5.5666666666666667,7.40333333333333
2001-01-01,11729.031290322581,13222.69,5.0500000000000000,7.07666666666667
2001-04-01,11382.386984126984,13299.984,5.2700000000000000,7.22333333333333
2001-07-01,10675.562881355932,13244.784,4.9800000000000000,7.10666666666667
2001-10-01,10299.829531250000,13280.859,4.7700000000000000,6.92333333333333
2002-01-01,10580.492000000000,13397.002,5.0766666666666667,6.62333333333333
2002-04-01,10129.2828125000000000,13478.152,5.1000000000000000,6.71333333333333
2002-07-01,8477.2445312500000000,13538.072,4.2600000000000000,6.35
2002-10-01,8374.0868750000000000,13559.032,4.0066666666666667,6.28
2003-01-01,8153.8339344262295082,13634.253,3.9200000000000000,6.00333333333333
2003-04-01,8934.1457142857142857,13751.543,3.6200000000000000,5.31
2003-07-01,9659.6864062500000000,13985.073,4.2333333333333333,5.69666666666667
2003-10-01,10284.316093750000,14145.645,4.2866666666666667,5.65666666666667
2004-01-01,11051.606612903226,14221.147,4.0200000000000000,5.45666666666667
2004-04-01,10952.707580645161,14329.523,4.6000000000000000,5.92666666666667
2004-07-01,10745.020468750000,14464.984,4.3033333333333333,5.64333333333333
2004-10-01,11403.647031250000,14609.876,4.1733333333333333,5.48666666666667
2005-01-01,11731.659836065574,14771.602,4.2966666666666667,5.32
2005-04-01,11669.878750000000,14839.782,4.1600000000000000,5.14666666666667
2005-07-01,12215.393750000000,14972.054,4.2133333333333333,5.09333333333333
2005-10-01,12293.028888888889,15066.597,4.4900000000000000,5.38
2006-01-01,12924.269032258065,15267.026,4.5700000000000000,5.39
2006-04-01,12920.443809523810,15302.705,5.0700000000000000,5.89333333333333
2006-07-01,12887.573968253968,15326.368,4.8966666666666667,5.68
2006-10-01,13911.794444444444,15456.928,4.6300000000000000,5.38666666666667
2007-01-01,14346.632459016393,15493.328,4.6800000000000000,5.36333333333333
2007-04-01,15087.166190476190,15582.085,4.8466666666666667,5.57666666666667
2007-07-01,14967.985714285714,15666.738,4.7300000000000000,5.75333333333333
2007-10-01,15038.018906250000,15761.967,4.2600000000000000,5.53
2008-01-01,13562.406393442623,15671.383,3.6633333333333333,5.45666666666667
2008-04-01,13851.266406250000,15752.308,3.8866666666666667,5.6
2008-07-01,12720.583125000000,15667.032,3.8633333333333333,5.65333333333333
2008-10-01,9123.1068750000000000,15328.027,3.2533333333333333,5.81666666666667
2009-01-01,8126.5972131147540984,15155.94,2.7366666666666667,5.27333333333333
2009-04-01,9051.1679365079365079,15134.117,3.3133333333333333,5.51333333333333
2009-07-01,10160.943906250000,15189.222,3.5166666666666667,5.26666666666667
2009-10-01,11116.203437500000,15356.058,3.4600000000000000,5.2
2010-01-01,11549.454098360656,15415.145,3.7166666666666667,5.29333333333333
